,n_estimators,max_leaf_nodes,max_features,train_size,train_time,test_time,train_score,test_score
658,16,2,1,182,0.0054889999999,0.0877349999998,0.550497731555,0.539214463192
659,2,9,1,185,0.00103599999989,0.0268739999999,0.524492074799,0.540234212032
660,53,3,10,4811,0.0831900000001,0.289936,0.514843248267,0.509976576247
661,15,10,7,11562,0.103336,0.106768,0.46834320009,0.470739871792
662,16,16,2,100,0.00625500000001,0.118536,0.343047798227,0.510879021536
663,33,13,41,909,0.063537,0.218505,0.377589946192,0.42501519344
664,72,3,41,4768,0.291754,0.395132,0.474771856416,0.473955525067
665,65,8,16,1,0.0268140000001,0.273219,0.0,0.584988873031
666,2,3,13,30,0.000946999999996,0.0279780000001,0.504324576164,0.560224245173
667,65,6,23,34795,2.875502,0.394377,0.452991432962,0.454770033748
668,20,4,113,208,0.018812,0.120884,0.404526840606,0.467166784906
669,30,18,12,4896,0.111961,0.218744,0.427733594414,0.425558678072
670,28,3,1,41696,0.147469,0.170081,0.533160844918,0.529141881618
671,1,2,3,27,0.000586000000112,0.020861,0.502788415799,0.551301853555
672,6,2,26,1,0.002072,0.03809,0.0,0.560492194905
673,49,4,3,7,0.026102,0.287204,0.172357344182,0.556743247573
674,80,11,11,37774,2.815939,0.532394,0.447284374542,0.449160560395
675,51,2,7,50491,0.603587,0.270409,0.525135108537,0.526460287963
676,5,3,9,40769,0.121111,0.040677,0.511952398059,0.510175531349
677,9,6,103,2258,0.0636569999999,0.0645399999999,0.433838264075,0.448353218289
678,20,2,63,3,0.0128339999999,0.120773,0.187074202295,0.639366068255
679,4,4,92,32201,0.550028,0.0372540000001,0.467388865596,0.464083720155
680,1,8,32,2173,0.005539,0.0216780000001,0.458204111605,0.460448478442
681,5,3,46,1,0.00182099999984,0.0385960000001,0.0,0.543194936571
682,14,3,4,38,0.00483499999996,0.0891879999999,0.469837373457,0.538436472304
683,87,8,56,9114,1.886498,0.555265,0.437492367428,0.434828961004
684,2,5,7,1,0.000882999999931,0.023803,0.0,0.635896889132
685,6,8,57,141,0.00425500000006,0.049231,0.321832052353,0.499095248889
686,1,2,16,21,0.000941000000012,0.021497,0.521060604685,0.538227247262
687,96,15,69,26,0.0417219999999,0.653414,0.143970578197,0.606776590514
688,5,2,87,2,0.00188100000014,0.0371130000001,0.0654692993388,0.54545347828
689,1,7,20,4,0.00056799999993,0.0212410000001,0.471446490535,0.569680517359
690,2,6,1,1,0.000843000000032,0.0233409999998,0.0,0.571725287141
691,1,7,29,103,0.000724999999875,0.0215189999999,0.412386288875,0.597362463242
692,56,2,30,440,0.028767,0.281624,0.476722817133,0.516791556831
693,5,3,1,1,0.00182200000017,0.036738,0.0,0.715749308944
694,17,6,148,49,0.0110609999999,0.118861,0.261362896894,0.527499711073
695,3,2,73,3,0.00124200000005,0.029241,0.185446572105,0.543640626761
696,1,7,16,2666,0.00549599999999,0.0230310000002,0.519178754389,0.518128580459
697,96,6,31,102,0.0411960000001,0.581534,0.337042499594,0.469077818853
698,37,2,9,1,0.0167059999999,0.176364,2.6645352591e-15,0.611650245759
699,11,2,7,9,0.0037699999998,0.06747,0.451752001269,0.536871698235
700,3,13,10,2219,0.00718300000017,0.0335660000001,0.47594676516,0.497557328401
701,6,12,2,29160,0.0740460000002,0.0515619999999,0.50051086157,0.501908584606
702,15,19,1,4,0.00502699999993,0.094374,0.164259497448,0.595665010167
703,6,9,3,174,0.00278899999989,0.04909,0.379043450465,0.528705481142
704,2,3,18,36,0.00100499999985,0.02619,0.501800647487,0.558334944867
705,20,3,12,394,0.00893700000006,0.112159,0.505520932226,0.492745746683
706,22,5,42,14,0.00780300000019,0.142971,0.205839697914,0.573397309151
707,1,8,3,3011,0.00690200000008,0.0284280000001,0.505002024979,0.520522363613
708,10,4,3,840,0.00518099999999,0.065014,0.505697257468,0.518853724961
709,9,5,20,2,0.00312100000019,0.053674,0.225248683518,0.594651726053
710,23,11,90,32,0.0110719999998,0.164127,0.202993793161,0.526031681843
711,6,19,4,17,0.00230600000009,0.0520550000001,0.225998883047,0.543930930226
712,13,13,5,70,0.00497000000018,0.094971,0.310641003472,0.522569867406
